"name"	"birth_date"	"marriage_date"	"friends"	"alcohol"	"initial_income"	"neurotic"	"current_income"	"income_increase"	"age_at_marriage"	"sex"
"Ben"	1977-07-03	1997-04-03	5	10	20000	10	30000	50	19.7238550922761	"Female"
"Martin"	1969-05-24	1999-04-24	2	15	40000	17	55000	37.5	29.8755980861244	"Female"
"Andy"	1973-06-21	2003-12-25	0	20	35000	14	50000	42.8571428571429	30.4688995215311	"Female"
"Paul"	1970-07-16	1996-03-11	4	5	22000	13	35000	59.0909090909091	25.6185919343814	"Female"
"Graham"	1949-10-10	1976-05-07	1	30	50000	21	65000	30	26.5372522214628	"Female"
"Carina"	1983-11-05	2010-03-02	10	25	5000	7	15000	200	26.2857142857143	"Male"
"Karina"	1987-10-08	2012-02-01	12	20	100	13	1500	1400	24.2843472317157	"Male"
"Doug"	1989-09-16	2011-10-05	15	16	3000	9	5500	83.3333333333333	22.0205058099795	"Male"
"Mark"	1973-05-20	1996-03-12	12	17	10000	14	23000	130	22.7805878332194	"Male"
"Zoe"	1984-11-12	2009-02-01	17	18	10	13	510	5000	24.1886534518113	"Male"
